[9656 |07-18 18:32:32|   INFO|KCfgFileLoader.h:144] [magic cube] file last change time different
[9656 |07-18 18:32:32|   INFO|KCfgFileLoader.h:144] [magic cube] file last change time different
[9656 |07-18 18:45:37|   INFO|KCfgFileLoader.h:63] [magic cube] file not modify, no need to load again
[9656 |07-18 18:45:37|   INFO|KCfgFileLoader.h:63] [magic cube] file not modify, no need to load again
[13212|07-18 19:00:07|   INFO|KCfgFileLoader.h:144] [magic cube] file last change time different
[13212|07-18 19:00:07|   INFO|KCfgFileLoader.h:144] [magic cube] file last change time different
[18792|09-08 20:38:22|   INFO|KCfgFileLoader.h:144] [magic cube] file last change time different
[18792|09-08 20:38:22|   INFO|KCfgFileLoader.h:144] [magic cube] file last change time different
[18792|09-08 20:38:22|   INFO|KCfgFileLoader.h:63] [magic cube] file not modify, no need to load again
[18792|09-08 20:38:22|   INFO|KCfgFileLoader.h:63] [magic cube] file not modify, no need to load again
[26496|09-09 17:07:59|   INFO|KCfgFileLoader.h:144] [magic cube] file last change time different
[26496|09-09 17:07:59|   INFO|KCfgFileLoader.h:144] [magic cube] file last change time different
[26496|09-09 17:07:59|   INFO|KCfgFileLoader.h:63] [magic cube] file not modify, no need to load again
[26496|09-09 17:07:59|   INFO|KCfgFileLoader.h:63] [magic cube] file not modify, no need to load again
