origin,target,id1,id2,dir
A1,B32,1,2,forward
A1,B12,1,4,forward
A1,B11,1,5,forward
A1,B31,1,6,forward
A1,B0,1,10,forward
A1,C1,1,11,forward
A1,D,1,13,forward
B32,B33,2,3,forward
B32,C1,2,11,forward
B33,D,3,13,forward
B12,B31,4,6,forward
B12,C1,4,11,forward
B11,B31,5,6,forward
B11,C1,5,11,forward
B31,C1,6,11,forward
B31,D,6,13,forward
G22,H11,7,8,forward
H11,H23,8,25,forward
B0,C1,10,11,forward
B0,D,10,13,forward
B0,E11,10,14,forward
C1,Ca,11,12,forward
C1,D,11,13,forward
Ca,D,12,13,forward
D,E11,13,14,forward
D,E12,13,15,forward
E11,E12,14,15,forward
E11,F2,14,16,forward
E11,F1,14,17,forward
E11,E3,14,20,forward
E12,F2,15,16,forward
E12,F1,15,17,forward
E12,E21,15,18,forward
E12,E22,15,19,forward
E12,E3,15,20,forward
F2,G12,16,22,forward
F2,G21,16,23,forward
F1,G12,17,22,forward
E21,E3,18,20,forward
E21,G21,18,23,forward
E22,E3,19,20,forward
E22,E4,19,21,forward
E3,E4,20,21,forward
E3,G21,20,23,forward
E4,G22,21,7,forward
E4,G12,21,22,forward
E4,G21,21,23,forward
G12,G22,22,7,forward
G12,G21,22,23,forward
G21,H11,23,8,forward
G21,H12,23,24,forward
G21,H23,23,25,forward
G21,I12,23,26,forward
G21,I11,23,27,forward
H12,H23,24,25,forward
H23,I12,25,26,forward
H23,I11,25,27,forward
I12,I2,26,28,forward
I11,I2,27,28,forward
I2,J,28,9,forward
