nameall,name,id,color16,xy,rank
A1,A1,1,#FFB6C1,1:0!,1
B32,B32,2,#9932CC,2:0!,2
B33,B33,3,#00FFFF,3:0!,3
B12,B12,4,#FF1493,2:-1!,2
B11,B11,5,#DB7093,2:1!,2
B31,B31,6,#5F9EA0,3:-1!,3
G22,G22,7,#CD950C,13:0!,13
H11,H11,8,#7B68EE,14:0!,14
J,J,9,#808000,18:0!,18
B0,B0,10,#5F9EA0,2:-2!,2
C1,C1,11,#1E90FF,4:0!,4
Ca,Ca,12,#5F9EA0,5:0!,5
D,D,13,#4169E1,6:0!,6
E11,E11,14,#7B68EE,7:0!,7
E12,E12,15,#FF4500,8:0!,8
F2,F2,16,#3CB371,9:0!,9
F1,F1,17,#7FFFAA,9:-1!,9
E21,E21,18,#5F9EA0,9:1!,9
E22,E22,19,#00FFFF,9:-2!,9
E3,E3,20,#FFF68F,10:0!,10
E4,E4,21,#008B8B,11:0!,11
G12,G12,22,#DA70D6,12:0!,12
G21,G21,23,#32CD32,13:-1!,13
H12,H12,24,#5F9EA0,14:-1!,14
H23,H23,25,#FF4500,15:0!,15
I12,I12,26,#008000,16:0!,16
I11,I11,27,#B0C4DE,16:-1!,16
I2,I2,28,#ADFF2F,17:0!,17
