nameall,name,id,color16,xy,rank
xFSx,FS,1,#FFB6C1,1:0!,1
xBYCx,BYC,2,#DB7093,2:0!,2
xBYx,BY,3,#FF1493,2:-1!,2
xGCSx,GCS,4,#9932CC,2:1!,2
xGSSx,GSS,5,#5F9EA0,3:0!,3
xMSCx,MSC,6,#1E90FF,4:0!,4
xGSSx-4,GSS-4,7,#5F9EA0,5:0!,5
xMSCx-1,MSC-1,8,#1E90FF,6:0!,6
xGMCx,GMC,9,#4169E1,7:0!,7
xGCx,GC,10,#7B68EE,8:0!,8
xGSCx,GSC,11,#FF4500,8:-1!,8
xGSSx-3,GSS-3,12,#5F9EA0,9:0!,9
xGSCx-7,GSC-7,13,#FF4500,9:-1!,9
xGSax,GSa,14,#00FFFF,10:0!,10
xGMCx-4,GMC-4,15,#4169E1,11:0!,11
xGCx-4,GC-4,16,#7B68EE,12:0!,12
xGSCx-2,GSC-2,17,#FF4500,13:0!,13
xGSax-1,GSa-1,18,#00FFFF,14:0!,14
xSaCx,SaC,19,#FFF68F,14:-1!,14
xDGx,DG,20,#7FFFAA,14:1!,14
xDSx,DS,21,#3CB371,14:-2!,14
xRSCx,RSC,22,#008B8B,15:0!,15
xYSSx,YSS,23,#DA70D6,16:0!,16
xYax,Ya,24,#32CD32,17:0!,17
xGSSx-2,GSS-2,25,#5F9EA0,18:0!,18
xSaCx-2,SaC-2,26,#FFF68F,19:0!,19
xRSCx-2,RSC-2,27,#008B8B,20:0!,20
xYax-1,Ya-1,28,#32CD32,21:0!,21
xTSx,TS,29,#CD950C,21:-1!,21
xGCx-1,GC-1,30,#7B68EE,22:0!,22
xGSSx-1,GSS-1,31,#5F9EA0,22:-1!,22
xYax-2,Ya-2,32,#32CD32,23:0!,23
xGSCx-1,GSC-1,33,#FF4500,23:-1!,23
xSCax,SCa,34,#B0C4DE,24:0!,24
xGFSx,GFS,35,#008000,24:-1!,24
xPMSx,PMS,36,#ADFF2F,25:0!,25
xBSCx,BSC,37,#808000,26:0!,26
