origin,target,id1,id2,dir
FS,BYC,1,2,forward
FS,BY,1,3,forward
FS,GSS,1,4,forward
FS,GSS-1,1,5,forward
FS,GCS,1,6,forward
FS,MSC,1,8,forward
FS,GMC,1,10,forward
BYC,GSS,2,4,forward
BYC,MSC,2,8,forward
BY,GSS,3,4,forward
BY,MSC,3,8,forward
GSS,MSC,4,8,forward
GSS,GMC,4,10,forward
GSS-1,MSC,5,8,forward
GSS-1,GMC,5,10,forward
GSS-1,GC,5,11,forward
GCS,GSa,6,7,forward
GCS,MSC,6,8,forward
GSa,GMC,7,10,forward
MSC,GSS-2,8,9,forward
MSC,GMC,8,10,forward
GSS-2,GMC,9,10,forward
GMC,GC,10,11,forward
GMC,GSC,10,12,forward
GC,GSC,11,12,forward
GC,SaC,11,15,forward
GC,DG,11,17,forward
GC,DS,11,18,forward
GSC,GSS-3,12,13,forward
GSC,GSa-1,12,14,forward
GSC,SaC,12,15,forward
GSC,DG,12,17,forward
GSC,DS,12,18,forward
GSS-3,SaC,13,15,forward
GSS-3,Ya,13,20,forward
GSa-1,SaC,14,15,forward
GSa-1,RSC,14,16,forward
SaC,RSC,15,16,forward
SaC,Ya,15,20,forward
RSC,YSS,16,19,forward
RSC,Ya,16,20,forward
RSC,TS,16,21,forward
DG,YSS,17,19,forward
DS,YSS,18,19,forward
DS,Ya,18,20,forward
YSS,Ya,19,20,forward
YSS,TS,19,21,forward
Ya,GC-1,20,22,forward
Ya,GSS-4,20,23,forward
Ya,GSC-1,20,24,forward
Ya,SCa,20,25,forward
Ya,GFS,20,26,forward
TS,GC-1,21,22,forward
GC-1,GSC-1,22,24,forward
GSS-4,GSC-1,23,24,forward
GSC-1,SCa,24,25,forward
GSC-1,GFS,24,26,forward
SCa,PMS,25,27,forward
GFS,PMS,26,27,forward
PMS,BSC,27,28,forward
