origin,target,id1,id2,dir
FS,BYC,1,2,forward
FS,BY,1,3,forward
FS,GCS,1,4,forward
FS,MSC,1,6,forward
FS,GMC,1,7,forward
FS,GSS,1,16,forward
BYC,MSC,2,6,forward
BYC,GSS,2,16,forward
BY,MSC,3,6,forward
BY,GSS,3,16,forward
GCS,GSa,4,5,forward
GCS,MSC,4,6,forward
GSa,GMC,5,7,forward
GSa,SaC,5,8,forward
GSa,RSC,5,9,forward
MSC,GMC,6,7,forward
GMC,GC,7,15,forward
GMC,GSC,7,17,forward
SaC,RSC,8,9,forward
SaC,Ya,8,13,forward
RSC,YSS,9,12,forward
RSC,Ya,9,13,forward
RSC,TS,9,14,forward
DG,YSS,10,12,forward
DS,YSS,11,12,forward
DS,Ya,11,13,forward
YSS,Ya,12,13,forward
YSS,TS,12,14,forward
Ya,GC,13,15,forward
Ya,GSC,13,17,forward
Ya,SCa,13,18,forward
Ya,GFS,13,19,forward
TS,GC,14,15,forward
GC,SaC,15,8,forward
GC,DG,15,10,forward
GC,DS,15,11,forward
GC,GSC,15,17,forward
GSS,MSC,16,6,both
GSS,GMC,16,7,forward
GSS,SaC,16,8,forward
GSS,Ya,16,13,both
GSS,GC,16,15,forward
GSC,GSa,17,5,forward
GSC,SaC,17,8,forward
GSC,DG,17,10,forward
GSC,DS,17,11,forward
GSC,GSS,17,16,both
GSC,SCa,17,18,forward
GSC,GFS,17,19,forward
SCa,PMS,18,20,forward
GFS,PMS,19,20,forward
PMS,BSC,20,21,forward
